location,count_suwbay,count_bus,count_taxi,count_filling_station,count_automobile_rental
"116.36,40.09",1,17,0,0,0
"116.37,39.73",1,2,0,0,0
"116.37,39.74",1,6,0,1,0
"116.37,39.81",1,12,0,1,0
"116.37,39.82",1,7,0,1,0
"116.37,39.83",1,12,0,1,5
"116.37,39.84",2,18,0,0,5
"116.37,39.85",2,20,0,1,3
"116.37,39.86",3,13,1,2,6
"116.37,39.87",2,18,1,3,8
"116.37,39.88",1,20,0,3,2
"116.37,39.89",8,18,0,2,0
"116.37,39.90",24,21,0,2,2
"116.37,39.91",15,24,0,1,3
"116.37,39.92",8,24,0,0,3
"116.37,39.93",13,23,0,0,2
"116.37,39.94",3,17,0,2,2
"116.37,39.95",1,24,0,3,1
"116.37,39.96",1,18,0,1,0
"116.37,39.97",3,13,0,1,2
"116.37,39.98",1,17,0,2,3
"116.37,40.00",1,22,0,4,2
"116.37,40.01",1,17,0,4,1
"116.37,40.02",1,5,0,0,0
"116.37,40.03",1,9,0,0,1
"116.37,40.07",1,8,0,0,0
"116.37,40.08",1,24,0,0,0
"116.38,39.84",3,18,0,2,3
"116.38,39.85",3,17,0,0,3
"116.38,39.86",1,15,1,0,8
"116.38,39.87",2,11,1,2,7
"116.38,39.88",1,16,0,2,2
"116.38,39.89",12,16,0,0,0
"116.38,39.90",24,20,0,2,1
"116.38,39.91",17,17,0,0,2
"116.38,39.92",8,17,0,0,2
"116.38,39.93",3,22,0,1,2
"116.38,39.94",2,16,0,1,1
"116.38,39.95",1,18,0,1,0
"116.38,39.96",1,12,0,0,2
"116.38,39.97",3,19,0,4,3
"116.38,39.98",2,15,0,5,3
"116.38,40.02",1,4,0,0,0
"116.39,39.84",2,14,0,2,2
"116.39,39.85",3,17,0,2,1
"116.39,39.86",1,15,0,1,2
"116.39,39.87",2,7,0,1,1
"116.39,39.88",1,24,0,0,0
"116.39,39.89",12,24,0,0,0
"116.39,39.90",17,15,0,1,0
"116.39,39.91",7,10,0,0,0
"116.39,39.93",6,15,0,2,0
"116.39,39.94",2,12,0,1,0
"116.39,39.95",2,17,0,0,1
"116.39,39.96",1,20,0,0,2
"116.39,39.97",3,22,0,0,4
"116.39,39.98",3,18,0,4,4
"116.39,39.99",1,10,0,1,3
"116.39,40.00",1,13,0,0,0
"116.39,40.01",2,2,0,0,0
"116.40,39.80",1,10,1,0,2
"116.40,39.81",2,11,0,1,3
"116.40,39.82",1,8,0,1,3
"116.40,39.83",1,8,0,0,1
"116.40,39.84",2,15,0,0,0
"116.40,39.85",2,13,0,1,0
"116.40,39.86",3,12,0,1,2
"116.40,39.87",1,8,0,2,1
"116.40,39.88",1,19,0,1,0
"116.40,39.89",15,24,0,1,0
"116.40,39.90",12,15,0,0,0
"116.40,39.91",13,16,0,0,1
"116.40,39.92",4,18,0,1,0
"116.40,39.93",9,22,0,1,0
"116.40,39.94",2,15,0,0,0
"116.40,39.95",3,16,0,2,1
"116.40,39.96",1,22,0,2,2
"116.40,39.97",4,21,0,0,3
"116.40,39.98",3,13,0,0,0
"116.40,39.99",1,6,0,0,0
"116.40,40.00",2,15,0,2,2
"116.40,40.01",1,10,0,1,1
"116.41,39.51",1,0,0,0,0
"116.41,39.80",2,10,0,0,0
"116.41,39.81",2,9,0,0,2
"116.41,39.82",1,6,0,1,1
"116.41,39.84",2,19,0,1,0
"116.41,39.85",2,19,0,1,2
"116.41,39.86",2,13,0,2,2
"116.41,39.87",2,9,0,1,2
"116.41,39.88",2,8,0,1,1
"116.41,39.89",10,18,0,1,0
